Title,Content,Stars
Good efficient service,"Very easy to fill in the online application and also when we had a live chat (3 times) all our queries were answered quickly.  Highly recommend,  great value.",5
38 woodcroft,nothing at all,2
First found on a price comparison site,"First found on a price comparison site. Premium has reduced slightly each year since. A month's warning via email of policy auto renewal date, so plenty of time  to review if it still suits, make any adjustments or check other companies to see if still best buy. They have a price promise that new customers will never be offered a cheaper price than an existing customer.",5
Gary was very knowledgeable and worked…,"Gary was very knowledgeable and worked with me to get my renewal premium down, not as much as I would have liked but as good as it could have gotten.",5
The online questionnaire was easy to…,The online questionnaire was easy to complete and signing into the account felt very secure.,5
Reasonable prices and renewal was lower…,Reasonable prices and renewal was lower than last year with this company which is the first time that’s happened with my previous insurance companies highly recommend,5
It was very straight forward,It was very straight forward,5
Easy process,"Easy process, thank you",5
Fabulous time was had filling in the…,"Fabulous time was had filling in the form , would highly recommend. JDoyle.",4
Easy to go through the form,Easy to go through the form,5
Such a waste of time...,"I have had homeprotect content insurance for a few years now, I've never had to claim anything and based on my experience trying to add things to my policy I even more hope I never will.  Every time I try and add something it is so frustrating, the customer service clearly doesn't speak enough English to properly use the acros they have so they can't answer basic questions and just repeat previous information.  Today I once again tried to just get a quote of how much the premium will increase, if I add a piece of jewellery . Firstly they can't just give you a basic quote and/or tell you if it's possible to insure an item that's valued at price X, you need to go through all the changes to the basically reject them in the last step. Going through all of these steps, really to just get a quote to see if I would add it to the insurance, or insure it another way took 60min, until I was then told they couldn't tell me and I'd have to call in. Who with a normal job has this much time to waste? Especially, if its then to be followed up with ""you need to now call in"". I got given a referencenumber, but based on my experience you have to start from zero regardless.  It all ended with me trying to figure out, if I needed to call in by a specific day or time in order for said reference number to work, which my poor customer service person didn't seem to understand so just repeated my reference number and hotline opening times.  Anway, all I want is an insurance that doesn't waste my time and has decent customer service, why is that so impossible to find? Especially considering I'm not even trying to claim anything, but actually trying to add to it aka give them more money.  Anyway, needless to say I will see, if I can find another insurer that can just give me a simple answer on price and conditions and then hopefully get this done without costing me another few hours - recommendations super welcome!",2
