Title,Content,Stars
Shockingly poor treatment – policy voided without notice after months of delay,"I have never rated home insurance before but our experience with Homeprotect has been extremely disappointing, and I feel obliged to share it so others understand how this insurer handles concerns and claims. Prior to taking out this policy we had 15 years NCD with house insurance so we are not people who try to claim readily.   Timeline of events and background  Prior to purchase – RICS Level 3 Survey We commissioned a full RICS Level 3 building survey—the most detailed survey available. The survey concluded: The house was typical for its age A minor crack in the damp-proof course was likely due to thermal expansion There were no active structural concerns No further investigation was required before purchase There was no evidence of active subsidence We relied on this expert report to answer Homeprotect’s questions accurately and transparently.  March 2025   Before purchasing the policy, on exchange of contracts with this property, I phoned Homeprotect directly to confirm how we should answer questions relating to historic underpinning. Our property had underpinning 25 years ago, long before our ownership. I explained this clearly, and was told it was not relevant as was outside the 10 year period.   July 2025 – New cracking noticed During a period of unusually hot weather, we noticed some new cracking that appeared to be related to heat and movement in the soil—very common for this summer. We did exactly what a responsible homeowner should: We reported it promptly to Homeprotect. They then appointed their own surveyor.  August 2025 A Homeprotect-appointed surveyor attended the property and we subsequently send over the copy of our pre-purchase survey which they initially claimed to not have received despite email confirmation that it had. We heard nothing further for months. No requests for clarification. No suggestion that cover was at risk. No indication that voidance or cancellation was even being considered.   August–November 2025 – Complete silence We had to put in a complaint to move the process forward.  27th November 2025 – Policy voided immediately, with no notice Out of nowhere, we received a letter stating that our policy had been voided from inception—meaning they were treating it as if it never existed. This letter was the first and only notice. There was no: advance warning opportunity to answer questions opportunity to provide evidence explanation of why this decision was made months after their own surveyor attended  This left us instantly uninsured, which is not only deeply stressful but also contrary to the fair treatment required under FCA regulations. Insurers must give reasonable notice before cancellation; Homprotect gave none.  Why this is so unfair: We acted entirely in good faith: We disclosed historic underpinning before purchasing the policy. We relied on a RICS Level 3 survey showing no active issues. We reported new cracking promptly and transparently. We cooperated fully with Homeprotect’s surveyor. We commissioned an extremely thorough survey which was subsequently used against us - it seems if we had been less diligent and had a basic survey this may not have happened. To void a policy under these circumstances—months later, without notice—appears disproportionate, unjustified, and procedurally improper. It has wide reaching implications for our ability to be able to insure our property in the future, due to no fault of our own.   What happens now We are now forced into a formal complaint process and likely escalation to the Financial Ombudsman. Homeprotect has handled the entire matter with poor communication, no transparency, and an absence of basic fairness and an expectation of a householder that is way beyond what is reasonable.  Final thoughts I would strongly caution anyone considering Homeprotect. Our case has shown that even when you fully disclose everything, commission the highest level of survey, and report issues promptly, you may still find yourself uninsured without warning and left to challenge the decision alone.",1
High quality,High quality,5
Easy and straightforward.,Easy and straightforward.,5
Home Insurance Done Right…,The website was so easy to find and to use. Every question was so easy to answer. Very quick procedure. All done in 20mins,5
"They have helped me ,in a very quick…","They have helped me ,in a very quick manner  after we have damaged our TV following our house Christmas decorations.",5
Quick response to boiler breakdown- the…,"Quick response to boiler breakdown- the next morning.  The call centre staff are great.  I would particularly like to thank Karen, who said she'd call me back, and did so, which was very helpful   Thanks a lot",5
** Zero Stars**,** Zero Stars**  Wont cover my wifes damaged ring bacause it wasnt checked over in the last 3 years - who in the right mind takes there rings in for a service - Avoid at all costs.,1
Nice website easily to get cover,Nice website easily to get cover,5
Easy and clear step by step guide as…,Easy and clear step by step guide as you go when giving quote info. Thankyou,5
fair price and very good and clear…,fair price and very good and clear website.,5
Most of the website was easy to…,"Most of the website was easy to negotiate, there were a few answer options that were a bit confusing.  A phone call clarified things",4
Awesome,Awesome. Really good insurance experience|!,5
mostly straightforward,mostly straightforward,4
Really like Homeprotect now have two…,"Really like Homeprotect now have two policies with them, the system is straight forward and simple and easy to find what you require.",5
Recommended,"Have not claimed on the policy as this was only a renewal but the person i spoke to was a real gem - give the lad a pay rise, he went over and above.",5
Quick,"Quick, clear and reasonably priced",5
Lies and MissDirection for profit...,"After an increase to my premium I called, ages on hold, but I questioned the auto renewal, your rep assured me of a cash-back payment once I paid the full price, more fool me. Where is it? Yes, never auto-renew again, shame the telesales have to lie for profit!",1
Great price great cover,Getting my insurance was very easy covered every thing i needed covered clear questions happy with policy very good price,5
Great customer service,Great customer service,5
Sean dealt with my call professionally,"Sean dealt with my call professionally, and with a personal touch and good humour. Very approachable and easy to work with.",5
Service,"Very good, helpful",5
All ok,"All ok, although one item I thought was included later was stated not to be",4
Easy and simple to complete and really…,Easy and simple to complete and really excellent previous experience,5
I’ve never made a claim with Home…,I’ve never made a claim with Home protect but have various properties insured with them and so far so good.,5
Efficient and prompt response to my…,Efficient and prompt response to my enquiry but unfair and unfavourable policy changes every year to loyal customers,4
Easy and clear explanation,Easy and clear explanation,5
Simple and no fuss experience,Simple and no fuss experience. Good quote,5
OK nothing to shout about,No exec summary to make this a quick process.  All the 'add ons' are confusing Very easy to make a mistake with complexity  Level of buildings cover looks great Ability to add High value items for cover is good,3
Competitive straight forward cover,"Competitive, straight forward cover",5
great experience,"Did an online chat, to get the information i needed. It was all very quick and i received the information required",5
Easy to buy contents insurance,"Easy to buy, good value, I am a repeat customer",5
Straight forward On-Line Application…,Straight forward On-Line Application and Customer Services answered my query as best they could.  Would have preferred if I could have accessed my Schedule of Facts (as I wanted to check period of unoccupancy declared) prior to purchasing said Policy but alas this appears to not be possible.  Once the Policy is issued then logically I will be able to access the Schedule of Facts.,4
Leak in garden,"The lady i dealt was excellent, her name was Pip, first class service kept me informed every step of the way, couldn't  thank her enough.",5
Good product,"Good product , first time with homeprotect.lets hope its a good year . Good options.easy process.",5
Insure with Home Protect,Website was easy to negotiate. very user friendly. covered all my requirements. was competitively priced.,5
Perfect service by Kelsey,Perfect service by Kelsey. Great price as well,5
All correct information stored so it…,All correct information stored so it was quick and easy to renew and competitive on pricing.,5
Very simple to set up and excellent…,Very simple to set up and excellent value for money.,5
Every thing was easy to follow.,Every thing was easy to follow.,5
straight forward and easy to navigate…,straight forward and easy to navigate site and quote and make adjustments. Did a quick Live  chat for advice and was answered quickly and very helpfully. Went with Homeprotect due to good reviews and price,5
Very easy and great price.,"Very easy and great price.  Also great follow up,, very unexpected",5
Home Protect interface worked well,The interface between Compare the Market and Home Protect worked well saving me time and stress.,4
Renewal was easy especially with a…,Renewal was easy especially with a reasonable premium reduction. I also made a 'phone call and found the member of staff very pleasant and helpful. Phil Harvey.,5
Great customer service,"Quick, friendly knowledgeable response. Resolved my query satisfactorily.",5
Great value for money,Great value for money. Easy options to include extras,5
Excellent customer service,"George was very helpful, knowledgeable and resolved my issue quickly and efficiently. Not something I write very often these days, A1 customer service to Homeprotect and George. You have my permission to use this review online should you wish to.",5
Online communication only,Online communication only - bit of a wait but otherwise fine,4
